study_id,citation,year,domain_top1,domain_top1_conf,domain_top2,domain_top2_conf,domain_top3,domain_top3_conf,region_top1,region_top1_conf,region_top2,region_top2_conf,region_top3,region_top3_conf,reliability_top1,reliability_top1_conf,reliability_top2,reliability_top2_conf,reliability_top3,reliability_top3_conf,confidence_score,notes
study_0909,"Svyatko, S",1876,Isotope Geochemistry,0.404,Paleoclimatology,0.386,Radiocarbon Chronology,0.362,Southern Levant,0.181,Egypt,0.117,Sinai,0.093,Low,0.053,High,-0.014,Medium,-0.076,0.213,"Svyatko, S.V.; Schulting, R.; Mallory, J.; Murphy, E.M.; Paula Reimer, P.J.; Khartanovich, V.I.; Chistov, Y.K.; Sablin, M.V. Svyatko, Svetlana Vladimirovna (37089664500); Schulting, Rick J. (660328317"
study_0910,"Rodríguez Díaz, A",1843,Landscape Archaeology,0.322,Geoarchaeology,0.309,Stratigraphy,0.268,Southern Levant,0.254,Sinai,0.101,Egypt,0.084,High,0.066,Medium,0.065,Low,0.059,0.214,"Rodríguez Díaz, A.; Pavón Soldevila, I.; Duque Espino, D.M.; Ponce de León Iglesias, M.; Hunt Ortiz, M.; Merideth, C. Rodríguez Díaz, Alonso (55785184300); Pavón Soldevila, Ignacio (55785175200); Duqu"
study_0911,"Theodoridou, M",1806,Archaeology,0.385,Ceramic Analysis,0.377,Settlement Archaeology,0.358,Egypt,0.164,Sinai,0.099,Southern Levant,0.023,Medium,-0.004,Low,-0.009,High,-0.031,0.182,"Theodoridou, M.; Ioannou, I.; Philokyprou, M. Theodoridou, Magdalini (55655180600); Ioannou, Ioannis (15845602500); Philokyprou, Maria (35254200000) 55655180600; 15845602500; 35254200000 New evidence "
study_0912,"Wagner, M",2073,Radiocarbon Chronology,0.462,Stratigraphy,0.461,Settlement Archaeology,0.429,Southern Levant,0.171,Egypt,0.105,Sinai,0.096,High,-0.009,Medium,-0.034,Low,-0.051,0.208,"Wagner, M.; Tarasov, P.; Hosner, D.; Fleck, A.; Ehrich, R.; Chen, X.; Leipe, C. Wagner, Mayke (15027797700); Tarasov, Pavel E. (7003380802); Hosner, Dominic (55315377900); Fleck, Andreas (49963162400)"
study_0913,"Harvig, L",2013,Archaeology,0.346,Paleography,0.31,Paleoclimatology,0.285,Egypt,0.058,Southern Levant,0.034,Sinai,0.032,Medium,0.028,High,0.017,Low,-0.021,0.144,"Harvig, L.; Lynnerup, N. Harvig, Lise Lock (48662127900); Lynnerup, Niels (7003342155) 48662127900; 7003342155 On the volume of cremated remains - a comparative study of archaeologically recovered cre"
study_0914,"Dreslerová, D",1802,Settlement Archaeology,0.401,Archaeology,0.4,Landscape Archaeology,0.35,Southern Levant,0.187,Egypt,0.109,Sinai,0.032,Medium,0.014,Low,0.006,High,-0.012,0.201,"Dreslerová, D.; Kočár, P.; Chuman, T.; Šefrna, L.; PoniŠtiak, T. Dreslerová, Dagmar (26631802000); Kočár, Petr (6506872318); Chuman, Tomáš (22978962400); Šefrna, Luděk (6506254799); PoniŠtiak, Štefan "
study_0915,"Renson, V",2013,Paleoclimatology,0.313,Epigraphy,0.29,Radiocarbon Chronology,0.27,Southern Levant,0.179,Sinai,0.175,Egypt,0.084,High,0.021,Low,0.02,Medium,0.014,0.171,"Renson, V.; Martínez Cortizas, A.; Mattielli, N.; Coenaerts, J.; Sauvage, C.; de Vleeschouwer, F.; Lorre, C.; Vanhaecke, F.; Bindler, R.; Rautman, M.; Nys, K.; Claeys, P. Renson, Virginie (23398709500"
study_0916,"Kaal, J",1803,Volcanology,0.166,Meta-Analysis,0.15,Bioarchaeology,0.117,Southern Levant,0.145,Sinai,0.099,Egypt,0.061,High,0.099,Low,0.085,Medium,0.056,0.137,"Kaal, J.; Criado-Boado, F.; Costa Casáis, M.; López-Sáez, J.A.; López-Merino, L.; Mighall, T.; Carrión Marco, Y.; Silva-Sánchez, N.; Martínez Cortizas, A. Kaal, Joeri (16238702100); Criado-Boado, Feli"
study_0917,"Corboud, P",2012,Archaeology,0.515,Settlement Archaeology,0.49,Landscape Archaeology,0.47,Southern Levant,0.242,Egypt,0.186,Sinai,0.123,Medium,0.007,High,-0.023,Low,-0.061,0.255,"Corboud, P. Corboud, Pierre (6506099692) 6506099692 Archaeology of the Lake Geneva one century after F.A. Forel, some questions are still to be resolved⋯; L'archéologie lémanique un siécle aprés f.a. "
study_0919,"Ben-Shlomo, D",2012,Archaeology,0.517,Settlement Archaeology,0.457,Landscape Archaeology,0.435,Southern Levant,0.259,Sinai,0.21,Egypt,0.177,Medium,0.044,High,0.026,Low,-0.009,0.273,"Ben-Shlomo, D. Ben-Shlomo, David (23026826800) 23026826800 Tell Ǧemme during the Bronze Age and Canaanite household archaeology 2012 Zeitschrift des Deutschen Palastina-Vereins 128 2 133 157 0 https:/"
study_0918,"Molodin, V",2012,Paleoclimatology,0.36,Isotope Geochemistry,0.354,Anthropology,0.319,Southern Levant,0.155,Egypt,0.093,Sinai,0.078,Medium,-0.02,High,-0.037,Low,-0.06,0.165,"Molodin, V.I.; Pilipenko, A.S.; Zhuravlev, A.A.; Trapezov, R.O.; Romaschenko, A.G. Molodin, V. I. (6506558021); Pilipenko, A. S. (36843047800); Zhuravlev, Anton A. (55759584700); Trapezov, Rostislav O"
study_0920,"Vích, D",2012,Settlement Archaeology,0.52,Archaeology,0.492,Landscape Archaeology,0.43,Southern Levant,0.191,Egypt,0.175,Sinai,0.151,High,0.035,Low,0.03,Medium,0.017,0.249,"Vích, D. Vích, David (26632376000) 26632376000 Kladky - An unknown fortified settlement in northwest Moravia. The possibilities of detector surveys in archaeology; Kladky - Neznámé hradiště na severoz"
study_0921,"Jablonka, P",1967,Stratigraphy,0.412,Archaeology,0.406,Paleoclimatology,0.406,Southern Levant,0.212,Egypt,0.162,Sinai,0.076,Medium,0.014,High,0.004,Low,0.004,0.213,"Jablonka, P. Jablonka, Peter (26631967400) 26631967400 Troy in Regional and International Context 2012 0 10.1093/oxfordhb/9780195376142.013.0032 https://www.scopus.com/inward/record.uri?eid=2-s2.0-849"
study_0922,"Madgwick, R",2012,Archaeology,0.366,Paleography,0.363,Settlement Archaeology,0.345,Southern Levant,0.155,Egypt,0.118,Sinai,0.092,Medium,0.046,High,0.019,Low,0.015,0.189,"Madgwick, R.; Mulville, J.; Stevens, R.E. Madgwick, Richard (45161754500); Mulville, Jacqui A. (6507494246); Stevens, Rhiannon E. (8747066900) 45161754500; 6507494246; 8747066900 Diversity in fodderin"
study_0923,"Burke, A",2012,Archaeology,0.395,Cognitive Archaeology,0.364,Settlement Archaeology,0.344,Southern Levant,0.4,Sinai,0.298,Egypt,0.269,High,0.02,Low,-0.039,Medium,-0.045,0.271,"Burke, A.A. Burke, Aaron A. (38261340900) 38261340900 The Archaeology of Ritual and Religion in Ancient Israel and the Levant, and the Origins of Judaism 2012 0 10.1093/oxfordhb/9780199232444.013.0056"
study_0924,"Molodin, V",2012,Ceramic Analysis,0.456,Isotope Geochemistry,0.414,Archaeology,0.396,Southern Levant,0.164,Egypt,0.161,Sinai,0.097,Medium,0.021,Low,0.004,High,-0.015,0.214,"Molodin, V.I.; Mylnikova, L.N.; Durakov, I.A.; Kobeleva, L.S. Molodin, V. I. (6506558021); Mylnikova, Lyudmila N. (11239899900); Durakov, Igor A. (26422977200); Kobeleva, L. S. (25722116500) 650655802"
study_0925,"Riddiford, N",2012,Paleoclimatology,0.419,Radiocarbon Chronology,0.414,Paleography,0.391,Southern Levant,0.23,Sinai,0.127,Egypt,0.089,Low,0.014,High,0.012,Medium,-0.021,0.221,"Riddiford, N.G.; Branch, N.P.; Green, C.P.; Armitage, S.J.; Olivier, L. Riddiford, Naomi G. (55301268200); Branch, Nicholas Philip (6507609513); Green, Christopher P. (55434882400); Armitage, Simon J."
study_0926,"Earle, J",2012,Archaeology,0.384,Settlement Archaeology,0.34,Radiocarbon Chronology,0.318,Southern Levant,0.304,Egypt,0.269,Sinai,0.246,Medium,0.076,Low,0.033,High,0.005,0.255,"Earle, J.W. Earle, Jason W. (58461752400) 58461752400 A cycladic perspective on mycenaean long-distance exchanges 2012 Journal of Mediterranean Archaeology 25 1 3 25 0 10.1558/jmea.v25i1.3 https://www"
study_0927,"Marriner, N",1950,Radiocarbon Chronology,0.446,Paleoclimatology,0.396,Stratigraphy,0.393,Southern Levant,0.357,Sinai,0.253,Egypt,0.186,High,-0.017,Medium,-0.026,Low,-0.046,0.262,"Marriner, N.; Goiran, J.-P.; Geyer, B.; Matoïan, V.; Al-Maqdissi, M.; Leconte, M.; Carbonel, P. Marriner, Nick (8427023000); Goiran, Jean Philippe (6506593404); Geyer, Bernard (7004921950); Matoïan, V"
study_0928,"Zaykov, V",2012,Archaeology,0.506,Landscape Archaeology,0.428,Settlement Archaeology,0.417,Egypt,0.217,Southern Levant,0.166,Sinai,0.107,Medium,0.022,High,-0.012,Low,-0.017,0.248,"Zaykov, V.V.; Yuminov, A.M.; Tkachev, V.V. Zaykov, Victor V. (56094415600); Yuminov, Anatoly M. (6507058726); Tkachev, V. V. (55249902200) 56094415600; 6507058726; 55249902200 Copper mines, chromite c"
study_0929,"Bryce, T",2012,Archaeology,0.36,Settlement Archaeology,0.352,Stratigraphy,0.287,Egypt,0.232,Southern Levant,0.157,Sinai,0.124,Medium,0.066,High,0.066,Low,0.03,0.219,"Bryce, T. Bryce, Trevor R. (55897698500) 55897698500 The World of The Neo-Hittite Kingdoms: A Political and Military History 2012 1 384 0 10.1093/acprof:oso/9780199218721.001.0001 https://www.scopus.c"
study_0930,"Çinardali-Karaaslan, N",2012,Archaeology,0.454,Settlement Archaeology,0.416,Cognitive Archaeology,0.35,Egypt,0.229,Southern Levant,0.224,Sinai,0.153,Medium,0.078,High,0.035,Low,0.02,0.254,"Çinardali-Karaaslan, N. Çinardali-Karaaslan, Nazli (55179402100) 55179402100 The East Mediterranean Late Bronze Age glass trade within the context of the Panaztepe finds 2012 Oxford Journal of Archaeo"
study_0931,"Harvig, L",1949,Archaeology,0.409,Bioarchaeology,0.398,Paleography,0.371,Southern Levant,0.095,Sinai,0.07,Egypt,0.051,Medium,0.098,High,0.034,Low,0.016,0.201,"Harvig, L.; Lynnerup, N.; Ebsen, J.A. Harvig, Lise Lock (48662127900); Lynnerup, Niels (7003342155); Ebsen, Jannie Amsgaard (48661949700) 48662127900; 7003342155; 48661949700 Computed tomography and c"
study_0932,"Jarošová, I",2012,Bioarchaeology,0.52,Archaeology,0.447,Paleoclimatology,0.423,Southern Levant,0.242,Egypt,0.181,Sinai,0.13,Medium,0.011,Low,-0.004,High,-0.016,0.258,"Jarošová, I.; Roblíčková, M.; Salaš, M.; Kočár, P.; Nyvltova-Fisakova, M.N. Jarošová, Ivana (35096175200); Roblíčková, Martina (35096575200); Salaš, Milan (36070087000); Kočár, Petr (6506872318); Nyvl"
study_0934,"Pulak, C",2012,Stratigraphy,0.208,Isotope Geochemistry,0.176,Artifact Typology,0.164,Sinai,0.096,Southern Levant,0.054,Egypt,0.035,Medium,0.12,High,0.094,Low,0.069,0.142,"Pulak, C. Pulak, Cemal (35764691700) 35764691700 Uluburun Shipwreck 2012 0 10.1093/oxfordhb/9780199873609.013.0064 https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924567718&doi=10.1093%2Foxfordh"
study_0933,"Delgado, J",1932,Radiocarbon Chronology,0.385,Stratigraphy,0.38,Geoarchaeology,0.326,Southern Levant,0.147,Sinai,0.105,Egypt,0.082,High,0.05,Low,0.037,Medium,-0.002,0.194,"Delgado, J.; Boski, T.; Nieto, J.M.; Pereira, L.; Moura, D.; Gomes, A.; Sousa, C.; García-Tenorio, R. Delgado, J. (58610458200); Boski, Tomasz (6602267486); Nieto, Jose Miguel (7103128879); Pereira, L"
study_0935,"Hirschfeld, N",2020,Meta-Analysis,0.266,Comparative Literature,0.15,Paleoclimatology,0.141,Sinai,0.012,Southern Levant,0.003,Egypt,-0.022,Medium,0.074,Low,0.001,High,-0.003,0.117,"Hirschfeld, N. Hirschfeld, Nicolle (53563820200) 53563820200 Cypro-Minoan 2012 0 10.1093/oxfordhb/9780199873609.013.0028 https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924533966&doi=10.1093%2Fo"
study_0936,"Mithen, S",1813,Archaeology,0.408,Radiocarbon Chronology,0.403,Cognitive Archaeology,0.369,Southern Levant,0.186,Sinai,0.145,Egypt,0.102,High,0.048,Low,0.032,Medium,0.025,0.214,"Mithen, S.; Wicks, K.; Austin, P.; Black, S.; Cowie, T.; Elliott, S.; Ingrem, C.; O'Connor, B.; Smith, S. Mithen, Steven John (6602167898); Wicks, Karen (35579876900); Austin, Phil A. (37068539600); B"
study_0937,"Touati, C",2012,Epigraphy,0.424,Philology,0.334,Stratigraphy,0.285,Egypt,0.372,Sinai,0.357,Southern Levant,0.214,High,0.224,Medium,0.095,Low,0.084,0.34,"Touati, C. Touati, Charlotte (26037780300) 26037780300 Efficacious writing: The inscription of the rosette on the high priest’s forehead and the Egyptian reception of exodus 28 2012 144 158 0 https://"
study_0938,"Haicheng, W",2012,Archaeology,0.436,Epigraphy,0.397,Settlement Archaeology,0.396,Egypt,0.17,Southern Levant,0.12,Sinai,0.092,Medium,-0.028,High,-0.031,Low,-0.066,0.192,"Haicheng, W. Haicheng, Wang (56464269300) 56464269300 Inscriptions from zhongshan: Chinese Texts and the archaeology of agency 2012 9781607322092 209 230 0 10.5876/9781607321996.c09 https://www.scopus"
study_0940,"Fitzenreiter, M",1871,Radiocarbon Chronology,0.351,Epigraphy,0.347,Archaeology,0.343,Sinai,0.213,Egypt,0.213,Southern Levant,0.094,Medium,0.106,Low,0.058,High,0.023,0.224,"Fitzenreiter, M. Fitzenreiter, Martin (56418717400) 56418717400 A seal stamp from Elephantine; Ein Siegelstempel aus Elephantine 2012 Mitteilungen des Deutschen Archaologischen Instituts - Abteilung K"
study_0939,"Nakassis, D",2012,Comparative Mythology,0.386,Paleoclimatology,0.357,Archaeology,0.348,Southern Levant,0.236,Sinai,0.235,Egypt,0.206,Medium,0.094,High,0.053,Low,0.045,0.238,"Nakassis, D. Nakassis, Dimitri (14630886300) 14630886300 Structuration and the state in mycenaean Greece 2012 9781607322092 231 247 0 10.5876/9781607321996.c10 https://www.scopus.com/inward/record.uri"
study_0941,"Riehl, S",1800,Landscape Archaeology,0.436,Stratigraphy,0.426,Geoarchaeology,0.405,Southern Levant,0.335,Sinai,0.205,Egypt,0.158,Medium,-0.009,High,-0.04,Low,-0.051,0.254,"Riehl, S.; Pustovoytov, K.; Dornauer, A.; Sallaberger, W. Riehl, Simone (6603653900); Pustovoytov, Konstantin E. (56135231800); Dornauer, Aron (56135204000); Sallaberger, Walther (26038527800) 6603653"
study_0942,"Brécoulaki, H",2012,Archaeology,0.345,Historical Geography,0.302,Geoarchaeology,0.29,Southern Levant,0.178,Egypt,0.16,Sinai,0.115,High,0.022,Low,0.006,Medium,-0.081,0.182,"Brécoulaki, H. Brécoulaki, Hariclia (23017773400) 23017773400 Archaeology of Macedonia: A state of the art and new perspectives; L'archeologie de la Macedoine : Etat des recherches et nouvelles perspe"
study_0944,"Scirè Calabrisotto, C",2012,Radiocarbon Chronology,0.588,Isotope Geochemistry,0.456,Paleoclimatology,0.425,Egypt,0.158,Sinai,0.117,Southern Levant,0.099,Low,-0.0,High,-0.003,Medium,-0.03,0.249,"Scirè Calabrisotto, C.; Fedi, M.E.; Caforio, L.; Bombardieri, L. Scirè Calabrisotto, Caterina (55596547500); Fedi, Mariaelena Elena (8852485900); Caforio, L. (55371316200); Bombardieri, Luca (55595359"
study_0943,"de Reu, J",1946,Radiocarbon Chronology,0.356,Stratigraphy,0.333,Archaeology,0.323,Egypt,0.059,Sinai,0.052,Southern Levant,0.049,Low,0.043,High,0.031,Medium,-0.033,0.153,"de Reu, J.; De Mulder, G.; van Strydonck, M.; Boudin, M.; Bourgeois, J. de Reu, Jeroen D. (37051946600); De Mulder, Guy (8655522400); van Strydonck, Mark J.Y. (56039337800); Boudin, Mathieu (260405407"
study_0945,"Rey, P",2012,Stratigraphy,0.427,Settlement Archaeology,0.426,Paleography,0.402,Southern Levant,0.211,Sinai,0.124,Egypt,0.056,Low,0.081,Medium,0.062,High,0.059,0.24,"Rey, P.-J.; Treffort, J.-M.; Larminat, S.D. Rey, Pierre Jérôme (54385852100); Treffort, Jean Michel (12767034000); Larminat, Solenn De (55509349800) 54385852100; 12767034000; 55509349800 The ""Chátelar"
study_0946,"Tkachev, V",2012,Archaeology,0.454,Cognitive Archaeology,0.406,Anthropology,0.384,Egypt,0.16,Southern Levant,0.107,Sinai,0.077,Medium,-0.008,Low,-0.02,High,-0.037,0.202,"Tkachev, V.V. Tkachev, V. V. (55249902200) 55249902200 An Alakul funeral and ritual site in the Eastern Orenburg region 2012 Archaeology, Ethnology and Anthropology of Eurasia 40 1 49 57 0 10.1016/j.a"
study_0947,"Drake, B",2012,Archaeology,0.463,Paleography,0.403,Cognitive Archaeology,0.4,Southern Levant,0.128,Egypt,0.062,Sinai,0.034,Medium,0.023,Low,0.022,High,-0.036,0.205,"Drake, B.L. Drake, Brandon Lee (35777639500) 35777639500 The influence of climatic change on the Late Bronze Age Collapse and the Greek Dark Ages 2012 Journal of Archaeological Science 39 6 1862 1870 "
study_0948,"Tronchère, H",2099,Geoarchaeology,0.47,Zooarchaeology,0.392,Bioarchaeology,0.389,Egypt,0.414,Sinai,0.336,Southern Levant,0.279,Medium,-0.021,High,-0.046,Low,-0.046,0.288,"Tronchère, H.; Goiran, J.-P.; Schmitt, L.; Preusser, F.; Bietak, M.; Forstner-Müller, I.; Callot, Y. Tronchère, Hervé (35779244400); Goiran, Jean Philippe (6506593404); Schmitt, Laurent (36715517600);"
study_0949,"Sanjurjo, J",2012,Radiocarbon Chronology,0.451,Archaeology,0.381,Stratigraphy,0.37,Southern Levant,0.323,Sinai,0.216,Egypt,0.195,Medium,-0.025,High,-0.035,Low,-0.074,0.249,"Sanjurjo, J.; Montero Fenollós, J.-L. Sanjurjo, Jorge (57159366800); Montero Fenollós, Juan Luís (25223790000) 57159366800; 25223790000 Chronology during the Bronze Age in the archaeological site Tell"
study_0950,"Nesbitt, C",1857,Archaeology,0.452,Settlement Archaeology,0.411,Landscape Archaeology,0.339,Sinai,0.109,Southern Levant,0.097,Egypt,0.088,Low,0.048,High,0.019,Medium,-0.011,0.203,"Nesbitt, C.; Church, M.J.; Gilmour, S.M.D. Nesbitt, Claire (35096492400); Church, Mike J. (8257846400); Gilmour, Simon M.D. (7005218579) 35096492400; 8257846400; 7005218579 Domestic, industrial, (en)c"
study_0951,"Wehlin, J",2011,Settlement Archaeology,0.343,Archaeology,0.326,Stratigraphy,0.318,Sinai,0.138,Southern Levant,0.11,Egypt,0.109,Medium,0.052,High,0.007,Low,-0.005,0.178,"Wehlin, J. Wehlin, Joakim (55217736900) 55217736900 The Ansarve stone ships - Anchored in their past?; Stenskeppen i Ansarve hage : Förtöjda i sitt Förflutna? 2011 Fornvannen 106 2 73 84 0 https://www"
study_0952,"Ryabogina, N",2011,Bioarchaeology,0.431,Paleoclimatology,0.391,Archaeology,0.39,Egypt,0.156,Southern Levant,0.114,Sinai,0.03,Medium,-0.022,Low,-0.041,High,-0.069,0.188,"Ryabogina, N.E.; Ivanov, S.N. Ryabogina, N. E. (35746887200); Ivanov, Sergey Nikolaevich (56735367000) 35746887200; 56735367000 Ancient agriculture in Western Siberia: Problems of argumentation, paleo"
study_0954,"Hoffmeier, J",2011,Archaeology,0.231,Sociology of Religion,0.229,Cognitive Archaeology,0.215,Egypt,0.435,Sinai,0.429,Southern Levant,0.283,High,0.022,Low,-0.036,Medium,-0.049,0.229,"Hoffmeier, J.K. Hoffmeier, James K. (26032987400) 26032987400 Israel in Egypt: The Evidence for the Authenticity of the Exodus Tradition 2011 1 264 0 10.1093/acprof:oso/9780195130881.001.0001 https://"
study_0953,"Lee, C",2074,Paleoclimatology,0.286,Paleography,0.251,Bioarchaeology,0.227,Southern Levant,0.09,Egypt,0.027,Sinai,-0.056,Low,0.142,High,0.066,Medium,0.066,0.173,"Lee, C.; Scott, G.R. Lee, Christine (57207467656); Scott, G. Richard (7402930537) 57207467656; 7402930537 Brief communication: Two-rooted lower Canines-A European trait and sensitive indicator of admi"
study_0955,"Dellovin, A",2011,Archaeology,0.365,Landscape Archaeology,0.355,Epigraphy,0.337,Southern Levant,0.213,Egypt,0.21,Sinai,0.164,High,0.037,Low,0.021,Medium,0.01,0.205,"Dellovin, A. Dellovin, Alaen (49863000000) 49863000000 A carpenter's tool kit from the godin cemetery (central-Western Iran) 2011 Iranica Antiqua 46 107 132 0 10.2143/IA.46.0.2084414 https://www.scopu"
study_0956,"Kinnaird, T",2011,Geoarchaeology,0.417,Bioarchaeology,0.347,Stratigraphy,0.308,Sinai,0.106,Egypt,0.1,Southern Levant,0.094,Low,0.039,High,0.023,Medium,0.008,0.187,"Kinnaird, T.C.; Sanderson, D.C.W.; Woodward, N.L. Kinnaird, Tim C. (47361394100); Sanderson, David C.W. (55547129456); Woodward, Naomi L. (55341573900) 47361394100; 55547129456; 55341573900 Applying l"
study_0958,"Paliou, E",2010,Archaeology,0.502,Landscape Archaeology,0.473,Epigraphy,0.424,Southern Levant,0.255,Sinai,0.235,Egypt,0.233,High,0.062,Medium,0.008,Low,0.007,0.273,"Paliou, E. Paliou, Eleftheria (36562201000) 36562201000 The communicative potential of theran murals in late Bronze Age Akrotiri: Applying viewshed analysis in 3D townscapes 2011 Oxford Journal of Arc"
study_0959,"Harmanşah, Ö",2061,Archaeology,0.513,Landscape Archaeology,0.468,Settlement Archaeology,0.424,Egypt,0.371,Sinai,0.339,Southern Levant,0.331,High,-0.02,Low,-0.041,Medium,-0.059,0.288,"Harmanşah, Ö. Harmanşah, Ömür (42061559300) 42061559300 Moving landscapes, making place: Cities, monuments and commemoration at Malizi/Melid 2011 Journal of Mediterranean Archaeology 24 1 55 83 0 10.1"
study_0957,"Novikova, T",2011,Volcanology,0.366,Geoarchaeology,0.313,Paleoclimatology,0.31,Sinai,0.157,Egypt,0.131,Southern Levant,0.058,High,0.079,Medium,0.055,Low,0.005,0.201,"Novikova, T.; Papadopoulos, G.A.; McCoy, F.W. Novikova, Tatyana I. (7102309887); Papadopoulos, Gerassimos A. (24458388700); McCoy, Floyd W. (7003863374) 7102309887; 24458388700; 7003863374 Modelling o"
study_0960,"Leighton, R",1811,Archaeology,0.494,Settlement Archaeology,0.44,Landscape Archaeology,0.43,Sinai,0.202,Southern Levant,0.187,Egypt,0.183,Low,-0.009,Medium,-0.023,High,-0.032,0.229,"Leighton, R. Leighton, Robert (10041811200) 10041811200 Pantalica (Sicily) from the Late Bronze Age to the Middle Ages: A new survey and interpretation of the rock-cut monuments 2011 American Journal "
study_0961,"Nataf, K",2011,Archaeology,0.436,Cognitive Archaeology,0.346,Comparative Mythology,0.321,Egypt,0.404,Sinai,0.333,Southern Levant,0.229,Medium,0.095,High,0.043,Low,0.012,0.312,"Nataf, K.C. Nataf, Katia Charbit (53464016600) 53464016600 An egyptian mortuary cult in late Bronze II Canaan 2011 Tel Aviv 38 1 52 66 0 10.1179/033443511x12931017059341 https://www.scopus.com/inward/"
study_0963,"Renson, V",1980,Radiocarbon Chronology,0.398,Archaeology,0.375,Ceramic Analysis,0.373,Southern Levant,0.136,Egypt,0.126,Sinai,0.11,High,0.021,Medium,0.01,Low,-0.008,0.185,"Renson, V.; Coenaerts, J.; Nys, K.; Mattielli, N.; Vanhaecke, F.; Fagel, N.; Claeys, P. Renson, Virginie (23398709500); Coenaerts, Jan (36730772500); Nys, Karin (25723633500); Mattielli, Nadine (66030"
study_0962,"Pienia̧rek, V",2011,Stratigraphy,0.459,Geoarchaeology,0.446,Landscape Archaeology,0.443,Southern Levant,0.317,Sinai,0.208,Egypt,0.193,Low,0.03,High,0.006,Medium,-0.026,0.269,"Pienia̧rek, V.M. Pienia̧rek, Von M. (39262132400) 39262132400 Cultic landscapes in the steppes. On the beginnings of sacral architecture in the North Pontic Region; Kultische Landschaften in der Stepp"
study_0964,"Steele, P",2011,Linguistics,0.416,Philology,0.361,Geoarchaeology,0.245,Egypt,0.174,Sinai,0.166,Southern Levant,0.146,Medium,0.025,Low,-0.009,High,-0.018,0.205,"Steele, P.M. Steele, Philippa M. (56527867400) 56527867400 A linguistic history of ancient Cyprus: The non-Greek languages, and their relations with Greek, c. 1600-300 BC 2011 1 279 0 10.1017/CBO97811"
study_0965,"Náfrádi, K",2011,Landscape Archaeology,0.436,Stratigraphy,0.37,Paleoclimatology,0.367,Southern Levant,0.164,Egypt,0.141,Sinai,0.125,High,-0.001,Low,-0.013,Medium,-0.024,0.2,"Náfrádi, K.; Bodor, E.; Törocsik, T.; Sümegi, P. Náfrádi, Katalin (54973855700); Bodor, Elvira (7003359082); Törocsik, Tünde (26536850400); Sümegi, Pál (6603345546) 54973855700; 7003359082; 2653685040"
study_0966,"Lasserre, M",2063,Radiocarbon Chronology,0.36,Paleoclimatology,0.35,Paleography,0.349,Southern Levant,0.198,Sinai,0.152,Egypt,0.148,Medium,0.051,High,0.044,Low,0.029,0.203,"Lasserre, M.; Vigreux, T.; Basoge, F.; Logel, T.; Putelat, O.; Schneider, N.; Michler, M.; Jodry, F.; Boës, X. Lasserre, Marina (52963948300); Vigreux, Thomas (36242399500); Basoge, Florian (369680782"
study_0967,"Polikreti, K",1887,Archaeology,0.433,Settlement Archaeology,0.345,Cognitive Archaeology,0.319,Egypt,0.199,Sinai,0.144,Southern Levant,0.123,High,0.037,Low,0.022,Medium,-0.008,0.223,"Polikreti, K.; Murphy, J.M.A.; Kantarelou, V.; Karydas, A.G. Polikreti, K. (6603391887); Murphy, Joanne M.A. (47061724900); Kantarelou, Vasiliki (30967548000); Karydas, Andreas G. (35566644000) 660339"
study_0968,"Szentmiklosi, A",2066,Archaeology,0.421,Paleography,0.373,Paleoclimatology,0.371,Southern Levant,0.223,Egypt,0.213,Sinai,0.151,High,0.038,Medium,0.029,Low,-0.003,0.227,"Szentmiklosi, A.; Heeb, B.S.; Heeb, J.; Harding, A.; Krause, R.; Becker, H. Szentmiklosi, Alexandru (26038551400); Heeb, Bernhard S. (26038085100); Heeb, Julia (48761206600); Harding, Anthony F. (8954"
study_0969,"Ilin-Tomich, A",2011,Paleoclimatology,0.255,Radiocarbon Chronology,0.25,Stratigraphy,0.247,Egypt,0.143,Southern Levant,0.142,Sinai,0.104,High,0.117,Low,0.083,Medium,0.037,0.172,"Ilin-Tomich, A. Ilin-Tomich, Alexander (43461459600) 43461459600 Changes in the ḥtp-dj-nsw formula in the late Middle Kingdom and the Second Intermediate Period 2011 Zeitschrift fur Agyptische Sprache"
study_0970,"Figueiredo, E",2043,Isotope Geochemistry,0.368,Radiocarbon Chronology,0.319,Stratigraphy,0.266,Southern Levant,0.021,Sinai,0.009,Egypt,-0.009,Medium,0.06,High,0.009,Low,-0.023,0.15,"Figueiredo, E.; Araújo, M.F.; Silva, R.J.C.; Senna-Martinez, J.C.; Vaz, J.L. Figueiredo, Elin (20433522400); Araújo, María Fátima D. (7202962609); Silva, Rui J.C. (35323186500); Senna-Martinez, J. C. "
study_0971,"Tian, X",2011,Isotope Geochemistry,0.405,Paleoclimatology,0.373,Radiocarbon Chronology,0.365,Egypt,0.084,Southern Levant,0.073,Sinai,0.045,High,-0.048,Low,-0.076,Medium,-0.088,0.147,"Tian, X.; Zhu, C.; Sun, Z.; Shui, T.; Huang, Y.; Flad, R.K.; Li, Y. Tian, Xiaosi (24336816000); Zhu, Cheng (55584800998); Sun, Zhibin (24336907800); Shui, Tao (24336323300); Huang, Yunping (2433513940"
